X1,gene,entrez_id,ensembl_id,subclass,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,dup_gene,avg_expr,avg_expr_ratio
12230,USP40,55230,ENSG00000085982,Oligodendrocyte,0.563,0.587,1.92304559110206,1.33295362956063,0.555,0.11,1.08442319140965e-127,5.45258824872687e-123,FALSE,NA,NA
12231,USP40,55230,ENSG00000085982,Astrocyte,0.659,0.584,1.74289163876715,1.20808042543296,0.613,0.226,3.6767910484304e-84,1.84872730706129e-79,FALSE,NA,NA
12232,USP40,55230,ENSG00000085982,VLMC,0.727,0.586,2.51726064752247,1.7448321205647,0.649,0.298,NA,NA,FALSE,3.3924383290774998,1.1552880299453498
12234,USP43,124739,ENSG00000154914,OPC,0.585,0.536,1.79952287644055,1.24733420815789,0.559,0.118,1.35760433084344e-20,6.82617033591388e-16,FALSE,NA,NA
12235,USP44,84101,ENSG00000136014,PVALB,0.524,0.272,1.86539967400127,1.29299652465143,0.655,0.31,0,0,FALSE,1.6017707535709675,1.3079269762301127
12236,USP44,84101,ENSG00000136014,SST,0.419,0.28,1.81487146349126,1.25797303799767,0.59,0.18,4.06081763163554e-128,2.04181971336267e-123,FALSE,NA,NA
12238,USP53,54532,ENSG00000145390,Endothelial,0.686,0.685,2.48125983870369,1.71987826143408,0.647,0.294,3.70693402037169e-15,1.86388349478309e-10,FALSE,NA,NA
12239,USP53,54532,ENSG00000145390,Microglia,0.873,0.682,4.20395703571092,2.91396096649817,0.829,0.658,0,0,FALSE,5.25044556825356,1.4695571062387922
12240,USP54,159195,ENSG00000166348,OPC,0.643,0.577,1.57795828827433,1.09375733855855,0.587,0.174,3.96237380900588e-42,1.99232117490625e-37,FALSE,NA,NA
12241,USP54,159195,ENSG00000166348,Endothelial,0.771,0.578,3.7220083866446,2.57989961922317,0.749,0.498,8.96022844634476e-35,4.50529246510661e-30,FALSE,NA,NA
12242,USP54,159195,ENSG00000166348,VLMC,0.455,0.578,1.81897584117445,1.26081797581672,0.467,0.0659999999999999,NA,NA,FALSE,NA,NA
12243,USP54,159195,ENSG00000166348,Oligodendrocyte,0.845,0.567,4.07853919318775,2.82702794256132,0.813,0.626,0,0,FALSE,4.021595338286885,1.0585169381076058
12245,USP6NL,9712,ENSG00000148429,Endothelial,0.643,0.487,3.59713175533437,2.49334173431266,0.663,0.326,4.81092457876244e-17,2.41898098744754e-12,FALSE,NA,NA
12246,USP6NL,9712,ENSG00000148429,Microglia,0.684,0.484,4.0285522574432,2.79237963898516,0.702,0.404,8.13894062586779e-243,4.09234073609259e-238,FALSE,3.3124802462071745,1.1177990454343913
12247,USP6NL,9712,ENSG00000148429,VLMC,0.636,0.487,2.94914504879557,2.04419157563497,0.565,0.13,NA,NA,FALSE,NA,NA
12248,USP6NL,9712,ENSG00000148429,L5/6 NP,0.806,0.481,1.53007420665302,1.06056662238903,0.74,0.48,6.28383672503548e-147,3.15957594371509e-142,FALSE,NA,NA
12249,UST,10090,ENSG00000111962,OPC,0.842,0.621,2.81366450666664,1.95028361983757,0.768,0.536,4.34009555452759e-192,2.18224344577202e-187,FALSE,NA,NA
12250,UST,10090,ENSG00000111962,L5/6 NP,0.956,0.619,1.9620226134486,1.35997044270675,0.843,0.686,3.05555653176551e-266,1.53636437973701e-261,FALSE,4.799267316605673,1.093971371302425
12251,UST,10090,ENSG00000111962,VLMC,0.909,0.625,2.6888487240548,1.86376791203079,0.766,0.532,0.00519113833933569,1,FALSE,NA,NA
12252,UST,10090,ENSG00000111962,Pericyte,0.656,0.625,3.31862466593179,2.30029533052731,0.684,0.368,2.38099358449248e-11,1.19718738421866e-6,FALSE,NA,NA
12253,UST,10090,ENSG00000111962,Microglia,0.513,0.627,1.61084541816086,1.1165529599161,0.465,0.07,7.69025577154154e-13,3.8667375044888e-8,FALSE,NA,NA
12255,UTP20,27340,ENSG00000120800,Oligodendrocyte,0.614,0.593,2.42658196277819,1.68197844589733,0.57,0.14,2.99649950528726e-109,1.50666991625349e-104,FALSE,NA,NA
12256,UTRN,7402,ENSG00000152818,Endothelial,0.971,0.735,4.24010187756405,2.93901466172045,0.935,0.87,2.03655961028595e-53,1.02400253764788e-48,FALSE,6.796460679545522,1.2486656658233446
12257,UTRN,7402,ENSG00000152818,VLMC,0.909,0.736,2.25439344640055,1.56262646124536,0.796,0.592,0.00136748407321735,1,FALSE,NA,NA
12258,UTRN,7402,ENSG00000152818,Pericyte,0.844,0.736,3.55051213118252,2.46102747327304,0.799,0.598,1.17133013906191e-14,5.8895650722172e-10,FALSE,NA,NA
12259,UTRN,7402,ENSG00000152818,L6b,0.958,0.73,1.57073777397771,1.08875245943166,0.802,0.604,1.59847979490771e-275,8.03731625677544e-271,FALSE,NA,NA
12260,UVRAG,7405,ENSG00000198382,Microglia,0.86,0.937,1.92620912998138,1.33514642761541,0.603,0.206,3.83498431037021e-42,1.92826846109725e-37,FALSE,NA,NA
12266,VAPB,9217,ENSG00000124164,VLMC,0.364,0.562,2.08534630974571,1.44545191509133,0.433,0.134,NA,NA,FALSE,NA,NA
12269,VASH1,22846,ENSG00000071246,Microglia,0.465,0.336,3.92063289516125,2.7175756372916,0.617,0.234,8.16827145046391e-225,4.10708856800776e-220,FALSE,2.3622416344235053,1.3413616986442798
12270,VASH2,79805,ENSG00000143494,L5/6 NP,0.385,0.163,1.8944697402375,1.31314635910176,0.622,0.244,2.79059275896381e-74,1.40313794513459e-69,FALSE,NA,NA
12271,VASH2,79805,ENSG00000143494,L5 ET,0.684,0.165,2.32412809249491,1.61096283457301,0.784,0.568,1.05860207192165e-58,5.32275707782926e-54,FALSE,2.2163490216989277,1.913596210532383
12272,VAT1L,57687,ENSG00000171724,LAMP5,0.682,0.529,1.67033439576689,1.15778757701812,0.643,0.286,2.34212614312041e-219,1.17764444602237e-214,FALSE,NA,NA
12273,VAT1L,57687,ENSG00000171724,L5 ET,0.975,0.535,3.61029562409624,2.50246623283021,0.949,0.898,6.91011565905506e-149,3.47447525452947e-144,FALSE,5.2960964932556385,2.3189511073571345
12274,VAT1L,57687,ENSG00000171724,OPC,0.561,0.536,1.51226825356284,1.04822447620739,0.532,0.0640000000000001,1.48826777269106e-8,7.48315918786794e-4,FALSE,NA,NA
12275,VAV1,7409,ENSG00000141968,L5/6 NP,0.624,0.5,1.63160276438508,1.13094085592734,0.609,0.218,8.22633643568915e-117,4.13628422322886e-112,FALSE,NA,NA
12276,VAV1,7409,ENSG00000141968,Microglia,0.671,0.5,5.67104858401597,3.93087133682913,0.692,0.384,0,0,FALSE,1.9666223973191617,1.9379422954164014
12277,VAV2,7410,ENSG00000160293,Astrocyte,0.62,0.486,1.7224448284564,1.19390777651461,0.606,0.212,7.86207865496854e-55,3.95313176850473e-50,FALSE,NA,NA
12278,VAV2,7410,ENSG00000160293,SST,0.769,0.475,2.01093234766794,1.39387208708282,0.737,0.474,0,0,FALSE,2.5431547482780674,1.072989765692996
12279,VAV2,7410,ENSG00000160293,VLMC,0.364,0.49,2.36036690855655,1.63608166775297,0.459,0.082,NA,NA,FALSE,NA,NA
12280,VAV3,10451,ENSG00000134215,L4 IT,0.922,0.478,3.18409059481886,2.20704341844613,0.885,0.77,0,0,FALSE,5.074367082899289,1.2558857511802195
12281,VAV3,10451,ENSG00000134215,Astrocyte,0.806,0.505,2.37521318729087,1.64637232399947,0.762,0.524,6.67077526772948e-289,3.35413251236706e-284,FALSE,NA,NA
12282,VAV3.AS1,NA,NA,L4 IT,0.391,0.116,2.03999001075695,1.41401332432663,0.649,0.298,0,0,FALSE,0.843145074721892,1.7441214939705572
12284,VCAN,1462,ENSG00000038427,OPC,0.965,0.1,6.61645064290399,4.58617410844293,0.974,0.948,0,0,FALSE,6.341635398083065,1.7697951852912661
12285,VCAN,1462,ENSG00000038427,VLMC,0.636,0.114,3.91530834434283,2.71388493990406,0.78,0.56,1.06124966071541e-5,0.533606941904315,FALSE,NA,NA
12286,VCL,7414,ENSG00000035403,VLMC,0.727,0.754,2.06080193766037,1.42843905278175,0.558,0.116,NA,NA,FALSE,NA,NA
12287,VCL,7414,ENSG00000035403,Pericyte,0.625,0.754,2.83756547472961,1.96685050846307,0.547,0.0940000000000001,1.3489319618016e-5,0.678256479713462,FALSE,NA,NA
12289,VEGFA,7422,ENSG00000112715,OPC,0.426,0.25,3.52005623463026,2.43991705444642,0.623,0.246,3.22414935408498e-167,1.62113453672747e-162,FALSE,NA,NA
12290,VEGFA,7422,ENSG00000112715,Astrocyte,0.571,0.244,3.28754133314804,2.27875000604585,0.705,0.41,1.086529955847e-311,5.46318127099367e-307,FALSE,2.592175290167061,1.1063095068758844
12292,VEGFB,7423,ENSG00000173511,VLMC,0.364,0.219,2.89976312702326,2.00996263578787,0.588,0.176,NA,NA,FALSE,NA,NA
12293,VEGFC,7424,ENSG00000150630,Endothelial,0.429,0.099,7.19698592942923,4.98857050551347,0.681,0.362,1.25322169643526e-44,6.30132401184611e-40,FALSE,2.2343678111212757,2.492393186088413
12298,VGF,7425,ENSG00000128564,SST,0.534,0.364,1.87763001859682,1.3014739535251,0.633,0.266,1.76382674108313e-243,8.86869723684007e-239,FALSE,2.225186667888661,1.0671063686724582
12299,VGF,7425,ENSG00000128564,VIP,0.491,0.362,1.90816055610161,1.32263610951752,0.612,0.224,0,0,FALSE,NA,NA
12300,VILL,50853,ENSG00000136059,L5/6 IT Car3,0.366,0.151,2.05714752532148,1.42590600717245,0.616,0.232,1.17095305627789e-86,5.88766906227085e-82,FALSE,1.3261829530947347,1.214355280896415
12302,VIM,7431,ENSG00000026025,VLMC,0.545,0.026,5.69854125159307,3.94992780184628,0.763,0.526,7.92505354162776e-8,0.00398479617126586,TRUE,NA,NA
12303,VIM,7431,ENSG00000026025,Endothelial,0.657,0.026,6.93845383907624,4.80936971600102,0.822,0.644,3.5644147856364e-74,1.79222339836584e-69,TRUE,3.5859321486475584,1.5280223339994154
12305,VIM.AS1,NA,NA,L5 ET,0.418,0.033,3.14073027675381,2.17698833623116,0.697,0.394,5.29866257065746e-75,2.66422052715228e-70,FALSE,1.1971192752222315,2.6505199582646757
12308,VIP,7432,ENSG00000146469,VIP,0.706,0.04,9.8728468438312,6.84333595390175,0.846,0.692,0,0,FALSE,4.849711581885994,11.155215516593495
12310,VIPR1,7433,ENSG00000114812,L6 CT,0.869,0.454,1.57804027271008,1.09381416583904,0.772,0.544,0,0,FALSE,3.437609015598579,1.1221451825185411
12311,VIPR2,7434,ENSG00000106018,L4 IT,0.618,0.238,2.77524598665341,1.92365393100912,0.729,0.458,0,0,FALSE,2.312808419418279,2.2116951941426986
12312,VIT,5212,ENSG00000205221,VLMC,0.727,0.197,5.89401116130955,4.08541721865056,0.812,0.624,4.23755643930945e-11,2.13068575324918e-6,FALSE,2.9781457395376076,3.7155612110177816
12317,VLDLR,7436,ENSG00000147852,LAMP5,0.465,0.243,1.63993657503315,1.13671741328135,0.625,0.25,9.23207377459919e-151,4.64197901460622e-146,FALSE,1.8076541310160252,1.2004011676099327
12318,VOPP1,81552,ENSG00000154978,Microglia,0.571,0.74,1.9939814718928,1.38212263533126,0.466,0.0679999999999999,3.43569281199854e-39,1.72750070280098e-34,FALSE,NA,NA
12319,VOPP1,81552,ENSG00000154978,Endothelial,0.629,0.738,1.71108127049737,1.18603115835417,0.471,0.0580000000000001,NA,NA,FALSE,NA,NA
12320,VPRBP,9730,ENSG00000145041,Endothelial,0.557,0.602,1.67521673512123,1.16117175677613,0.451,0.098,NA,NA,FALSE,NA,NA
12325,VPS29,51699,ENSG00000111237,Pericyte,0.469,0.672,1.57520893487457,1.09185163200114,0.398,0.204,NA,NA,FALSE,NA,NA
12326,VPS29,51699,ENSG00000111237,Microglia,0.432,0.675,1.71711081471167,1.19021051992639,0.424,0.152,3.83147777438606e-59,1.92650533973905e-54,FALSE,NA,NA
12332,VPS54,51542,ENSG00000143952,VLMC,0.727,0.778,1.92798926091373,1.33638032035221,0.579,0.158,NA,NA,FALSE,NA,NA
12334,VRK2,7444,ENSG00000028116,VLMC,0.364,0.286,1.99953873406457,1.38597463593726,0.564,0.128,NA,NA,FALSE,NA,NA
12336,VRK2,7444,ENSG00000028116,Endothelial,0.371,0.286,2.94868692677082,2.04387402964517,0.576,0.152,3.73152852331319e-11,1.8762498568071e-6,FALSE,NA,NA
12337,VRK2,7444,ENSG00000028116,Oligodendrocyte,0.668,0.27,4.38507541549991,3.03950266079649,0.761,0.522,0,0,FALSE,3.0969127651483546,1.7969686060837002
